CompanyName,NoStudents,Time,Package in Lakhs
4i Apps,24,Feb-25,3
4i Apps,24,Apr-25,3
4i Apps,5,May-25,3
AB InBev,18,Jan-25,12
AB InBev,4,Feb-25,12
APL Apollo Tubes,4,May-25,6
ARS Steels and Alloys,1,Apr-25,3.5
ATS Infrastructure,6,Mar-25,3.6
Aaizel,6,Dec-24,6
Aakash Educational Services,2,Mar-25,nan
Aakash Educational Services,2,Apr-25,nan
Aaviza Electronics,9,Jan-25,2.2
Abbott,2,Feb-25,nan
Abbott,1,May-25,nan
Accelerize 360,1,Oct-24,12
Accelerize 360,11,Nov-24,12
Accelerize 360,1,Sep-24,12
Accenture AEH,161,Sep-24,11.8
Accenture MC,2,Oct-24,15.9
Accolite,5,Nov-24,8
Accolite,3,Apr-25,8
Accolite,1,May-25,8
Adani Wilmar,3,Mar-25,6.6
Adani Wilmar,3,Nov-24,6.6
Adani Wilmar,1,Dec-24,6.6
Addverb Technologies,4,Dec-24,16
Aditya Birla Capital,8,Feb-25,13.5
Aditya Birla Group,8,Jan-25,8.5
Aditya Birla's Novel Jewels,8,Dec-24,5
Adobe PPO,3,Aug-24,45
Adobe PPO,2,Sep-24,45
Afcons Infrastructure,2,Mar-25,4.2
Affinsys AI (Bankbuddy),2,Sep-24,14
Agilent Technologies,1,Mar-25,9
AgniKul Cosmos,8,Mar-25,8
Akni.AI,5,Jan-25,6
Altair Engineering,1,Feb-25,8
Amadeus,38,Aug-24,12.6
Amagi Labs,6,Jan-25,18
Amara Raja Energy & Mobility,2,Mar-25,6.5
Amazon,8,Sep-24,15
Amazon,4,Nov-24,47
Amazon,9,Dec-24,47
Analytics Vidya,3,Feb-25,10
Apple Internship,7,Sep-24,nan
Apple Internship,1,Oct-24,nan
Appointy,4,Nov-24,8
Appointy,6,Dec-24,8
Aptiv,7,Nov-24,8.5
Arm Embedded,3,Sep-24,28
Arrise Solutions,22,Sep-24,14
Aryaka,1,Jan-25,10.1
Ascendion,105,Feb-25,4.5
Astr Defence,1,Jan-25,nan
AstraZeneca,11,Sep-24,8.4
Ather Energy,10,Oct-24,10
Aucnet(International),1,Sep-24,nan
Aumyaa Consulting Services,4,Dec-24,6
Avant Garde Cleanroom & Engg,6,Mar-25,5.5
Axxela Research & Analytics,21,Sep-24,14.1
BALKAN ID,2,Mar-25,75
BALKAN ID,1,Dec-24,75
BASF Catalysts,1,Apr-25,3
BIOMERIEUX,3,Mar-25,4.2
BNP Paribas,28,Jan-25,6
BNP Paribas,1,Feb-25,6
Bain Capability Network,30,Sep-24,14
Bajaj Allianz,2,Dec-24,8
Bajaj Finserv Health,2,Oct-24,12
Bajaj Finserv Health,1,Feb-25,12
Bajaj Finserv Health,5,Aug-24,12
Bajaj Finserv Health,1,Sep-24,12
Baker Hughes,8,Sep-24,10
Bank of America,156,Oct-24,9.1
Bank of America,2,Jan-25,9.1
Bank of New York Mellon PPO,3,Aug-24,24.7
Barclays PPO,9,Aug-24,15
BazaarVoice,12,Sep-24,10
Becton Dickinson PPO,3,Aug-24,14
Berger Paints,1,Feb-25,5.5
Blackrock,80,Sep-24,18.6
Blackrock,4,Oct-24,18
Blackrock,1,Dec-24,18
Bluebird,4,Oct-24,nan
Boeing PPO,10,Aug-24,10.9
Boston Scientific,2,Nov-24,nan
Brakes India,3,Dec-24,4.1
Bristol Myers Squibb,12,Dec-24,8.8
British Telecom,4,Sep-24,13
Broadridge Financial Solutions,7,Sep-24,10
CARIAD,9,Jan-25,8
CHUBB,47,Aug-24,12
COFFEE DAY BEVERAGES,4,Apr-25,5
CSOin architecture & engineering,2,Apr-25,3
CVENT,1,Feb-25,5.5
C_Net Corporation(International),1,Sep-24,nan
Capgemini,139,Apr-25,6.6
Carborundum Universal,1,Feb-25,4.3
Carrier Technologies,2,Jan-25,8.5
Catalyst,1,Feb-25,7
Caterpillar,12,Sep-24,13.2
Caterpillar,1,Apr-25,13.2
Caterpillar - Hackathon,11,Aug-24,13.2
Celestica,3,Feb-25,10
CharterLabs,1,Nov-24,10
Cimpress,1,Dec-24,12
Cipla Ltd,6,May-25,4.8
Cisco,2,Oct-24,24.7
Cisco PPO,3,Aug-24,24.7
Citi PPO,14,Aug-24,18
Clear Tax,4,Nov-24,8
Clear Tax,7,Dec-24,6.3
Cleartax,2,Dec-24,5.5
CloudAngles,8,May-25,8
Cloudera,5,Aug-24,19
Coding Ninjas,64,Apr-25,8
Cognizant,675,Dec-24,4.2
Cognizant,1,Mar-25,6.5
Collins Aerospace,11,Nov-24,8
Commonwealth Bank of Australia,22,Nov-24,12.3
Commvault,9,Aug-24,33
Condenast,3,Apr-25,11
Continental Automotive,1,Nov-24,nan
Cosmo first,1,May-25,5
Couchbase,12,Jul-24,24
Credence Automation,3,Jan-25,nan
Credence Automation,2,Feb-25,nan
DBS,29,Sep-24,11
DCM Shriram,2,Dec-24,nan
DEEL,2,Jan-25,21
DHL IT Services,2,May-25,11
Daimler India Commercial Vehicles Pvt. Ltd,3,Dec-24,nan
Daimler Truck Innovation Center,1,May-25,8
DataTheta,1,May-25,nan
Deliveroo,6,Aug-24,26
Dell,19,Aug-24,12.3
Deloitte,4,Dec-24,7.6
Deloitte India,45,Oct-24,7.6
Deloitte India,72,Sep-24,7.6
Deloitte India,8,Jan-25,7.6
Deloitte USI,84,Sep-24,7.7
ELGi Equipments,2,Mar-25,8.5
ESDS Software,14,May-25,5
EY Global Delivery Services,28,Oct-24,7.6
EY Global Delivery Services,4,Dec-24,7.6
EY India,14,Nov-24,8.6
Ecolab,4,Feb-25,7.3
Electronic Arts,2,Oct-24,38
EmbedUR,11,Nov-24,8
Empower,13,Feb-25,5
Encora Innovation Labs,18,Mar-25,5
Encora Innovation Labs,13,Apr-25,5
Epiroc Mining,10,Apr-25,7
Epsilon,7,Sep-24,12
Equal,2,Dec-24,15
Equal,1,Jan-25,15
Ericsson,9,Jan-25,nan
Ericsson,32,Dec-24,nan
Euler Motors,17,Jul-24,6.4
Eurofins,10,Nov-24,10.8
Everrenew,6,Jan-25,5
Everrenew,1,Feb-25,5
Evertz,4,Nov-24,6
ExxonMobil PPO,1,Jul-24,11.7
FIS,11,Oct-24,9.7
FedEx,5,Nov-24,nan
Fichtner Consulting Engineers,1,Apr-25,4
Fichtner Consulting Engineers,1,May-25,4
Fidelity PPO,30,Aug-24,13
Fidelity PPO,4,Sep-24,13
Flipkart Neev,9,Aug-24,13.5
Flobiz,1,Dec-24,12
Forbes Marshall,2,Oct-24,7.5
Forbes Marshall,1,Jan-25,7.5
Ford Business Solutions,4,Jan-25,6.3
Ford Business Solutions,11,Dec-24,6.5
Fractal Analytics,5,Oct-24,9.5
Freyr Energy,2,Feb-25,6
Futures First,27,Sep-24,13.3
GE Aerospace Internship,7,Aug-24,nan
GE Vernova,11,Oct-24,11
GRG Health,1,Mar-25,3.3
Gap Internship,29,Nov-24,16.5
Gensol,3,Nov-24,8.9
Gianteagle,2,Apr-25,7
Godrej Properties Limited,8,Dec-24,12
Goldman Sachs Internship,9,Sep-24,9.5
Google,6,Jul-24,60
Google,1,Sep-24,60
Google PPO,1,Aug-24,60
Google PPO,2,Sep-24,60
Green Publication Services,36,Mar-25,3.2
Greenway Healthcare,12,Feb-25,5.5
Greyorange,4,Dec-24,16
Grundfos Pumps,2,Feb-25,15
Guardian,26,Feb-25,7
HFCL,5,Feb-25,7
HFCL,1,Mar-25,7
HP,12,Oct-24,11.3
HP,1,Nov-24,11.3
HP,5,Dec-24,11.3
HPE,6,Nov-24,12.6
HPE CTY PPO,6,Aug-24,17.5
HPE R&D,8,Nov-24,17.5
HSBC,11,May-25,10
HSBC EDPI,5,Oct-24,10
HSBC EDPI,5,Nov-24,10
HSBC EDPI,3,Dec-24,10
HSBC Technologies,14,Nov-24,9
HSBC(Finops),18,Dec-24,10
HTC Global Services,13,Feb-25,4
Hashedin by deloitte,9,Mar-25,8.1
Havells,4,Nov-24,11
Helio Insights,2,May-25,5.5
Hercules Structural Systems,4,Feb-25,4
Higgs Boson Systems,1,Feb-25,3.6
